"Leaf.bag.number","time.point","weight_start","stream","treatment","replicate","number.days","dry_weight_rest","ashes_rest","dry_weight_OMD","ashes_OMD","dry_weight_conidia","ashes_conidia","dry_weight_ergosterol","disks_OMD","disks_conidia","disks_total"
15,"June",3.951,"Hainbach","forest",3,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
17,"June",3.991,"Triefenbach","forest",1,20,2611,903.83,23.17,1.41,14.03,0.37,NA,7,5,33
20,"June",3.978,"Otterbach","transplant",1,20,2450.25,444.28,25.06,1.68,17.96,1.31,NA,7,5,33
21,"June",3.959,"Hainbach","transplant",5,20,2736.6,745.16,20.41,3.29,9.05,0.8,NA,7,5,33
22,"June",3.978,"Isenach","vine",4,20,1944.27,472.9,21.32,1.31,NA,NA,NA,7,5,33
23,"June",3.989,"Dierbach","vine",3,20,2247.68,548.92,22.1,2.82,19.87,2.38,NA,7,5,33
26,"June",3.99,"Kropsbach","forest",5,20,581.2,185.66,NA,NA,NA,NA,NA,0,0,3
27,"June",4.028,"Modenbach","forest",2,20,2289.94,501.86,NA,NA,NA,NA,NA,0,5,26
28,"June",3.998,"Kropsbach","vine",6,20,1233,371.57,NA,NA,NA,NA,NA,0,0,0
30,"June",3.972,"Otterbach","forest",7,20,2332.41,568.58,33.18,10.08,19.75,2.28,NA,7,5,33
33,"June",3.999,"Dierbach","forest",2,20,3091.5,836.84,30.96,7.94,16.83,1.9,NA,7,5,33
34,"June",4.011,"Klingbach","forest",1,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
38,"June",3.972,"Kaiserbach","transplant",5,20,2923.83,999.65,30.38,2.62,18.25,1.87,NA,7,5,34
39,"June",3.954,"Triefenbach","forest",2,20,NA,NA,NA,NA,NA,NA,NA,0,5,0
40,"June",4.047,"Klingbach","vine",5,20,2331.32,665.07,NA,NA,14.19,2.06,NA,0,5,26
41,"June",3.984,"Triefenbach","vine",3,20,1884,270.59,23.25,2.06,12.41,0.85,NA,7,5,33
44,"June",4.02,"Kropsbach","vine",3,20,651.42,184.15,NA,NA,NA,NA,NA,0,5,33
46,"June",4.002,"Dierbach","vine",5,20,2350.91,301.16,25.43,2.38,24.15,1.51,NA,7,5,33
47,"June",4.028,"Klingbach","vine",7,20,2212.31,541.03,NA,NA,NA,NA,NA,0,5,11
